n_diseases	n_heterogeneous	mean_range	max_range
4	4	1.25	2.0
4	4	0.875	1.0
4	3	1.0	2.0
3	3	1.0	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.375	2.0
4	3	1.0	2.0
3	2	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	4	1.125	2.0
4	3	1.25	2.0
4	4	1.0	1.0
4	4	1.25	2.0
4	3	0.875	1.5
4	2	0.5	1.0
4	2	0.75	2.0
4	2	0.75	2.0
4	4	0.875	1.0
4	4	1.25	2.0
4	3	0.875	1.5
4	3	0.625	1.0
4	2	0.5	1.0
4	4	1.25	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	2	0.5	1.0
4	2	1.0	2.0
4	3	1.25	2.0
4	4	1.125	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.375	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	2	0.875	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	2	0.75	2.0
4	2	0.5	1.0
4	2	0.75	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.5	2.0
4	3	1.25	2.0
4	2	0.5	1.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	2	0.5	1.0
4	4	1.75	2.0
4	4	1.0	1.0
4	3	0.75	1.0
4	3	0.75	1.0
3	3	1.3333333333333333	2.0
4	3	0.75	1.0
4	2	0.75	2.0
4	2	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
3	3	1.3333333333333333	2.0
4	3	1.125	2.0
4	4	1.125	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	4	1.75	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	0.875	1.5
4	2	0.625	2.0
3	3	1.6666666666666667	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	4	1.5	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	1	0.5	2.0
4	2	0.375	1.0
4	4	1.0	1.0
4	3	0.75	1.0
4	3	1.25	2.0
4	4	1.5	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	3	1.25	2.0
3	3	1.3333333333333333	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	2	0.75	2.0
4	3	1.125	2.0
4	3	1.25	2.0
4	4	1.75	2.0
4	2	1.0	2.0
4	3	1.25	2.0
4	3	0.625	1.0
4	3	1.25	2.0
4	3	0.75	1.0
4	4	1.5	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	4	1.5	2.0
4	2	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	2	0.5	1.0
3	3	1.3333333333333333	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	0.625	1.0
4	4	1.25	2.0
4	2	0.75	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.625	2.0
4	4	1.125	2.0
4	3	1.25	2.0
4	2	1.0	2.0
4	4	1.25	2.0
4	4	1.5	2.0
4	4	1.5	2.0
4	3	1.25	2.0
4	4	1.0	1.0
4	3	1.125	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.375	2.0
4	3	0.875	2.0
4	2	0.625	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
3	3	1.3333333333333333	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	4	1.125	1.5
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	4	1.75	2.0
4	4	1.375	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	0.875	1.0
4	4	1.25	2.0
4	4	1.25	2.0
4	1	0.25	1.0
4	3	1.375	2.0
4	3	1.125	2.0
4	3	0.75	1.0
4	1	0.25	1.0
4	3	1.25	2.0
3	3	1.3333333333333333	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.125	1.5
4	4	0.875	1.0
4	2	0.375	1.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	0.875	2.0
4	4	1.5	2.0
4	2	0.875	2.0
4	3	1.0	2.0
4	2	0.75	2.0
3	3	1.3333333333333333	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	2	0.5	1.0
4	3	1.125	2.0
4	2	0.75	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	4	1.125	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	4	1.0	1.0
4	3	1.0	2.0
4	3	1.125	2.0
4	3	0.875	1.5
4	3	1.125	2.0
4	3	1.5	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	2	0.5	1.0
4	2	0.5	1.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	2	0.75	2.0
4	4	1.625	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	4	1.5	2.0
4	4	1.25	2.0
4	3	0.875	2.0
4	3	1.25	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	2	0.75	2.0
4	3	1.0	2.0
4	4	0.875	1.0
4	3	1.25	2.0
4	4	1.125	2.0
3	3	1.6666666666666667	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	4	1.25	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	4	1.375	2.0
4	3	0.875	1.5
4	4	1.5	2.0
4	3	1.375	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	0.75	1.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	1.25	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
3	3	2.0	2.0
4	2	0.875	2.0
4	3	1.25	2.0
3	1	0.3333333333333333	1.0
4	2	1.0	2.0
4	3	1.5	2.0
4	3	0.75	1.0
4	3	1.5	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.5	2.0
4	3	0.75	1.0
4	4	1.5	2.0
4	3	0.75	1.0
4	2	0.5	1.0
4	3	1.5	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.0	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	4	2.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	2	0.875	2.0
4	4	1.0	1.0
4	4	1.5	2.0
4	3	1.125	2.0
4	2	0.5	1.0
4	4	1.25	2.0
4	4	1.75	2.0
4	3	1.0	2.0
4	3	0.875	1.5
4	3	1.0	2.0
4	4	1.25	2.0
4	3	0.625	1.0
4	4	1.375	2.0
4	3	0.75	1.0
4	3	0.875	1.5
4	4	1.75	2.0
4	2	0.5	1.0
4	2	0.625	2.0
4	3	1.0	2.0
4	4	1.75	2.0
4	4	1.0	1.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.375	2.0
4	4	1.0	1.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	0.75	1.0
4	1	0.5	2.0
3	3	1.3333333333333333	2.0
4	3	0.875	1.5
4	3	1.125	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	0.75	1.0
3	2	0.6666666666666666	1.0
4	4	1.25	2.0
4	3	1.5	2.0
4	2	0.75	2.0
4	3	0.625	1.0
4	3	1.25	2.0
4	4	1.125	2.0
3	2	1.0	2.0
4	4	1.0	1.0
4	3	0.75	1.0
4	3	1.125	2.0
4	4	1.5	2.0
4	4	1.5	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	2	0.75	2.0
4	4	1.0	1.0
4	2	0.75	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	2	0.625	1.5
4	3	0.625	1.0
4	4	1.625	2.0
4	3	0.625	1.0
4	3	1.25	2.0
4	3	1.0	2.0
3	3	1.6666666666666667	2.0
4	4	1.25	2.0
4	3	0.875	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.5	1.0
3	3	1.6666666666666667	2.0
4	4	1.0	1.0
4	2	0.75	2.0
4	2	0.75	2.0
4	3	1.25	2.0
3	3	1.3333333333333333	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	2	0.75	2.0
4	2	0.625	2.0
4	2	0.375	1.0
4	4	1.25	2.0
4	2	0.75	2.0
4	4	1.125	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	1.25	2.0
4	4	1.25	2.0
4	4	0.875	1.0
4	3	0.875	1.5
4	4	1.5	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	4	0.875	1.0
4	4	1.25	2.0
3	3	1.3333333333333333	2.0
4	4	1.25	2.0
4	4	1.5	2.0
4	3	1.125	2.0
4	2	0.375	1.0
4	4	1.25	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	0.875	2.0
4	4	1.125	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	4	1.125	1.5
4	4	1.875	2.0
4	4	1.25	2.0
4	1	0.25	1.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	2	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	4	1.5	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	2	0.5	1.0
4	2	1.0	2.0
4	2	0.5	1.0
4	3	0.75	1.0
4	4	1.25	2.0
4	3	1.125	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.75	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	1	0.5	2.0
4	3	1.25	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	4	1.125	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	2	0.75	2.0
4	4	1.0	1.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.75	2.0
3	3	1.0	1.0
4	2	0.5	1.0
4	3	1.0	2.0
4	4	1.125	1.5
4	2	0.75	2.0
4	2	0.5	1.0
4	4	1.25	2.0
4	1	0.5	2.0
4	4	1.5	2.0
4	3	0.875	2.0
4	3	0.75	1.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	4	1.25	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	4	1.25	2.0
3	2	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	4	1.375	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.25	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	0.875	2.0
4	2	0.5	1.0
4	3	1.5	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	4	1.25	2.0
4	3	1.375	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	4	1.0	1.0
4	4	1.375	2.0
4	3	0.75	1.0
3	3	1.0	1.0
4	4	1.125	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	4	1.5	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	3	1.0	2.0
3	3	1.3333333333333333	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.125	2.0
4	4	1.375	2.0
3	2	1.3333333333333333	2.0
4	4	1.25	2.0
4	4	0.875	1.0
4	3	0.875	2.0
4	4	1.125	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	4	1.25	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	4	1.25	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	0.625	1.0
4	2	0.75	2.0
4	4	1.625	2.0
4	3	0.75	1.0
4	4	1.125	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	0.625	1.0
4	3	1.0	2.0
4	4	1.75	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	4	1.375	2.0
4	3	1.0	2.0
4	3	1.125	2.0
4	4	1.25	2.0
4	4	1.0	1.0
4	2	0.5	1.0
4	4	1.5	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	4	1.5	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	0.75	1.0
4	4	1.0	1.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	2	0.5	1.0
4	4	1.375	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	1.125	2.0
4	3	1.125	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.375	2.0
4	4	1.375	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	2	0.75	2.0
4	2	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.625	2.0
4	2	0.75	2.0
3	3	1.3333333333333333	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	0.875	1.0
4	4	1.75	2.0
4	2	0.75	2.0
4	3	1.125	2.0
3	3	1.0	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	0.75	1.0
3	3	1.3333333333333333	2.0
4	3	1.125	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
3	3	1.6666666666666667	2.0
4	4	1.75	2.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	1.375	2.0
4	3	1.0	2.0
4	2	1.0	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.375	1.0
4	3	1.125	2.0
4	3	0.75	1.0
4	4	1.125	2.0
4	4	0.875	1.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	4	0.875	1.0
4	3	0.75	1.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.125	2.0
4	3	1.25	2.0
4	3	0.75	1.0
4	1	0.25	1.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.625	2.0
4	3	0.75	1.0
3	3	1.3333333333333333	2.0
4	3	1.0	2.0
3	3	1.3333333333333333	2.0
4	2	1.0	2.0
4	3	1.375	2.0
4	3	0.875	2.0
4	1	0.5	2.0
4	3	0.875	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	2	0.875	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	0.625	1.0
4	4	1.0	1.0
4	4	1.0	1.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	4	0.875	1.0
4	2	0.75	2.0
4	3	0.75	1.0
4	3	0.75	1.0
3	3	1.6666666666666667	2.0
4	3	0.75	1.0
4	2	0.75	2.0
3	3	1.3333333333333333	2.0
4	2	0.5	1.0
4	2	0.5	1.0
4	4	1.125	2.0
4	3	1.25	2.0
4	2	0.625	2.0
4	3	1.0	2.0
4	2	0.375	1.0
4	3	1.25	2.0
3	2	0.6666666666666666	1.0
4	3	0.75	1.0
4	3	0.75	1.0
4	4	1.5	2.0
4	2	0.5	1.0
3	3	1.6666666666666667	2.0
4	2	1.0	2.0
3	3	1.3333333333333333	2.0
4	4	1.25	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	4	1.0	1.0
4	3	1.25	2.0
4	4	1.375	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	0.875	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	4	1.0	1.0
4	4	1.5	2.0
4	4	1.375	2.0
4	1	0.25	1.0
4	3	1.25	2.0
4	2	0.875	2.0
4	2	0.875	2.0
4	3	1.25	2.0
4	3	1.125	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	4	1.0	1.0
4	3	0.875	1.5
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	1.0	2.0
4	3	1.125	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	0.875	2.0
4	3	1.125	2.0
4	4	0.875	1.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	0.75	1.0
4	2	1.0	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.625	1.0
4	3	0.875	2.0
4	3	0.875	1.5
4	3	1.25	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	4	1.0	1.0
4	3	0.875	2.0
3	2	1.0	2.0
4	2	0.625	2.0
4	4	1.25	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	4	1.375	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	0.75	1.0
4	1	0.125	0.5
4	3	0.875	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	2	0.75	2.0
4	4	1.125	1.5
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
3	3	1.1666666666666667	2.0
4	2	1.0	2.0
4	3	0.75	1.0
4	4	1.25	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	3	1.25	2.0
4	4	0.875	1.0
4	4	1.5	2.0
4	4	1.375	2.0
4	3	1.0	2.0
4	2	0.75	2.0
3	3	1.0	1.0
4	4	1.75	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	4	1.5	2.0
4	3	1.25	2.0
3	3	1.6666666666666667	2.0
4	3	1.125	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	2	0.75	2.0
4	4	1.0	1.0
4	4	1.125	2.0
4	2	0.625	2.0
4	3	1.375	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	0.5	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	4	1.75	2.0
3	2	1.0	2.0
4	3	1.25	2.0
4	4	0.875	1.0
4	2	0.5	1.0
4	3	0.875	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.75	2.0
4	3	1.25	2.0
4	4	1.125	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	1.125	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	4	1.5	2.0
4	1	0.5	2.0
4	3	0.875	1.5
4	3	0.625	1.0
3	3	1.3333333333333333	2.0
4	4	1.5	2.0
4	2	1.0	2.0
4	3	0.75	1.0
4	3	1.5	2.0
4	4	1.5	2.0
4	4	1.25	2.0
4	2	0.75	2.0
4	3	0.625	1.0
4	3	1.0	2.0
4	4	1.0	1.0
4	4	1.25	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	4	2.0	2.0
4	4	1.25	2.0
4	2	0.5	1.0
4	3	1.125	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	4	1.0	1.0
4	2	0.5	1.0
4	4	1.5	2.0
4	2	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	1.0	2.0
3	3	1.3333333333333333	2.0
4	4	1.5	2.0
4	3	1.25	2.0
4	2	1.0	2.0
4	3	1.0	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	4	1.625	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	1	0.5	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	2	0.5	1.0
4	4	1.25	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	1	0.5	2.0
4	2	0.5	1.0
4	2	0.75	2.0
4	3	1.25	2.0
4	4	1.375	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	2	0.625	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	0.625	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	0.75	1.0
4	4	1.25	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	0.875	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	4	1.375	2.0
4	4	1.125	1.5
4	2	1.0	2.0
4	2	0.5	1.0
4	4	1.25	2.0
4	3	0.75	1.0
4	4	1.5	2.0
4	2	0.5	1.0
4	3	1.25	2.0
4	3	1.125	2.0
4	4	1.25	2.0
4	3	1.25	2.0
4	3	1.375	2.0
4	4	1.25	2.0
4	3	0.875	2.0
4	4	1.625	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	4	1.25	2.0
4	3	0.75	1.0
4	4	1.0	1.0
4	3	0.75	1.0
4	3	0.625	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	0.75	1.0
4	4	1.5	2.0
4	3	1.0	2.0
4	4	1.25	2.0
4	2	0.5	1.0
4	4	1.5	2.0
4	4	0.875	1.0
4	3	1.0	2.0
4	3	0.875	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	4	1.5	2.0
4	3	0.75	1.0
4	3	0.75	1.0
4	1	0.25	1.0
4	4	1.5	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	3	1.0	2.0
3	2	1.0	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	4	1.25	2.0
4	4	1.5	2.0
4	4	1.125	2.0
4	2	0.75	2.0
4	2	0.75	2.0
4	3	0.75	1.0
4	2	0.375	1.0
4	2	0.75	2.0
4	3	1.0	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	3	0.75	1.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	0.875	1.5
4	3	0.875	2.0
4	2	0.75	2.0
4	3	0.75	1.0
4	3	1.125	2.0
4	3	1.0	2.0
4	4	1.25	2.0
3	2	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	2	0.5	1.0
4	2	0.5	1.0
4	3	1.0	2.0
4	4	1.5	2.0
4	3	1.0	2.0
4	3	0.875	2.0
4	3	1.25	2.0
4	3	1.25	2.0
4	3	1.0	2.0
4	3	1.25	2.0
4	4	0.875	1.0
4	4	0.875	1.0
4	2	0.75	2.0
4	4	1.0	1.0
3	3	1.6666666666666667	2.0
4	4	1.75	2.0
4	3	0.875	2.0
4	3	1.25	2.0
4	4	1.25	2.0
4	1	0.25	1.0
4	3	0.875	1.5
4	4	1.0	1.0
4	3	0.875	2.0
4	2	0.5	1.0
4	2	0.5	1.0
4	4	1.5	2.0
4	4	1.25	2.0
4	3	1.25	2.0
3	3	1.6666666666666667	2.0
4	2	0.5	1.0
3	3	1.0	1.0
4	3	1.0	2.0
4	4	1.25	2.0
4	3	1.5	2.0
4	2	1.0	2.0
4	3	0.625	1.0
4	3	1.25	2.0
4	3	1.25	2.0
4	2	0.5	1.0
4	4	1.375	2.0
4	3	1.5	2.0
4	2	0.5	1.0
4	3	1.0	2.0
4	3	1.125	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	3	1.25	2.0
4	2	0.75	2.0
4	3	1.0	2.0
4	1	0.25	1.0
4	2	0.5	1.0
4	4	1.5	2.0
4	4	1.75	2.0
4	3	1.25	2.0
4	3	0.75	1.0
3	2	0.6666666666666666	1.0
4	3	1.0	2.0
4	3	1.125	2.0
4	3	0.75	1.0
3	3	1.0	1.0
4	3	1.125	2.0
4	2	0.75	2.0
4	4	1.25	2.0
4	3	1.0	2.0
4	2	0.875	2.0
4	3	1.0	2.0
4	2	0.75	2.0
4	2	0.5	1.0
4	3	1.25	2.0
